충전소,충전기ID,충전기타입,주소,이용가능시간
목포시 KD빌리앙뜨아파트,4,DC콤보,전라남도 목포시 옥암로 174 ,24시간 이용가능
목포시 VIP호텔,1,AC완속,전라남도 목포시 미항로 6 ,24시간 이용가능
목포시 VIP호텔,2,AC완속,전라남도 목포시 미항로 6 ,24시간 이용가능
목포시 게스트하우스예술촌,1,AC완속,전라남도 목포시 달성길 31-1 주차장,24시간 이용가능
목포시 골드디움3차,1,AC완속,전라남도 목포시 남악1로52번길 82 306동 1-2라인 입구,24시간 이용가능
목포시 골드디움3차,2,AC완속,전라남도 목포시 남악1로52번길 82 306동 1-2라인 입구,24시간 이용가능
목포시 골드디움6차,1,AC완속,전라남도 목포시 용해지구로88번길 8 602동 A15,24시간 이용가능
목포시 골드디움6차,2,AC완속,전라남도 목포시 용해지구로88번길 8 602동 A15,24시간 이용가능
목포시 금호어울림아파트,6,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,7,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,8,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,9,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,10,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,11,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,12,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,13,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,14,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,15,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,16,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,17,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,18,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,19,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,20,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 금호어울림아파트,21,AC완속,전라남도 목포시 텃골로33번길 53 ,24시간 이용가능
목포시 맨하탄모텔,1,AC완속,전라남도 목포시 비파로124번길 5 주차장,24시간 이용가능
목포시 목포칼튼힐호텔,1,AC완속,전라남도 목포시 남악1로52번길 11-5 ,24시간 이용가능
목포시 목포칼튼힐호텔,2,AC완속,전라남도 목포시 남악1로52번길 11-5 ,24시간 이용가능
목포시 목포현대병원,1,AC완속,전라남도 목포시 용당로 322-1 ,24시간 이용가능
목포시 목포현대병원,2,AC완속,전라남도 목포시 용당로 322-1 ,24시간 이용가능
목포시 목포현대병원,3,AC완속,전라남도 목포시 용당로 322-1 ,24시간 이용가능
목포시 봉황장례식장,1,AC완속,전라남도 목포시 삼학로 154 ,24시간 이용가능
목포시 봉황장례식장,2,AC완속,전라남도 목포시 삼학로 154 ,24시간 이용가능
목포시 봉황장례식장,3,AC완속,전라남도 목포시 삼학로 154 ,24시간 이용가능
목포시 부영애시앙2차,1,AC완속,전라남도 목포시 당가두로13번길 9 P2 입구,24시간 이용가능
목포시 부영애시앙2차,2,AC완속,전라남도 목포시 당가두로13번길 9 P2 입구,24시간 이용가능
목포시 부영애시앙2차,3,AC완속,전라남도 목포시 당가두로13번길 9 P2 입구,24시간 이용가능
목포시 부영애시앙2차,4,AC완속,전라남도 목포시 당가두로13번길 9 P2 입구,24시간 이용가능
목포시 서해안장례식장,1,AC완속,전라남도 목포시 고하대로 797 ,24시간 이용가능
목포시 스카이모텔,1,AC완속,전라남도 목포시 신흥로59번길 15 주차장,24시간 이용가능
목포시 스카이모텔,2,AC완속,전라남도 목포시 신흥로59번길 15 주차장,24시간 이용가능
목포시 시티유료주차장,1,AC완속,전라남도 목포시 하당남부로51번길 22 주차장,24시간 이용가능
목포시 시티프라자,1,AC완속,전라남도 목포시 남악1로52번길 35-7 ,24시간 이용가능
목포시 시티프라자,2,AC완속,전라남도 목포시 남악1로52번길 35-7 ,24시간 이용가능
