fetched_at,statId,chgerId,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,busiId
2026-09-15T08:12:19.606842+00:00,ME19Y284,22,2,20260915170722,20260915103021,20260915105308,,ME
2026-09-15T08:12:19.606842+00:00,ME19Y601,21,2,20260915170714,20260915155707,20260915162305,,ME
2026-09-15T08:12:19.606842+00:00,ME19Y601,22,2,20260915170715,20260915111242,20260915113939,,ME
2026-09-15T08:12:19.606842+00:00,ME19Y601,23,2,20260915170859,20260915115653,20260915123653,,ME
2026-09-15T08:12:19.606842+00:00,ME19Y601,24,2,20260915170859,20260915151858,20260915155858,,ME
2026-09-15T08:12:19.606842+00:00,ME20A193,01,2,20260915170222,20260915133806,20260915135926,,ME
2026-09-15T08:12:19.606842+00:00,ME20A194,01,2,20260915171006,20260915143120,20260915151120,,ME
2026-09-15T08:12:19.606842+00:00,ME20A195,01,2,20260915170809,20260915061419,20260915064657,,ME
2026-09-15T08:12:19.606842+00:00,ME20A196,01,3,20260915171022,20260915053751,20260915061751,20260915163506,ME
2026-09-15T08:12:19.606842+00:00,ME20A197,01,2,20260915170733,20260915163751,20260915170213,,ME
2026-09-15T08:12:19.606842+00:00,ME20A198,01,2,20260915170731,20260913145301,20260913153031,,ME
2026-09-15T08:12:19.606842+00:00,ME20A199,01,2,20260915170730,20260915133733,20260915141124,,ME
2026-09-15T08:12:19.606842+00:00,ME20A1a0,01,2,20260915170735,20260915122104,20260915130104,,ME
2026-09-15T08:12:19.606842+00:00,ME20A1a1,01,2,20260915170730,20260915013951,20260915021218,,ME
2026-09-15T08:12:19.606842+00:00,ME20A1a2,01,2,20260915170734,20260915151437,20260915155138,,ME
2026-09-15T08:12:19.606842+00:00,ME20A1a3,01,2,20260915170724,20260914133601,20260914141319,,ME
2026-09-15T08:12:19.606842+00:00,ME20A1a4,01,2,20260915170729,20260914180939,20260914182311,,ME
2026-09-15T08:12:19.606842+00:00,ME20A1a5,01,2,20260915170730,20260915114121,20260915120512,,ME
2026-09-15T08:12:19.606842+00:00,ME20A1a6,01,2,20260915170736,20260915135715,20260915143715,,ME
2026-09-15T08:12:19.606842+00:00,ME20A1a7,01,2,20260915170722,20260915105411,20260915110050,,ME
2026-09-15T08:12:19.606842+00:00,ME20A1a8,01,2,20260915170734,20260915162319,20260915164403,,ME
2026-09-15T08:12:19.606842+00:00,ME20A1a9,01,2,20260915170727,20260915150033,20260915151917,,ME
2026-09-15T08:12:19.606842+00:00,ME20A1b0,01,2,20260915170728,20260915145004,20260915153004,,ME
2026-09-15T08:12:19.606842+00:00,ME20A278,21,2,20260915171018,20260914161408,20260914164135,,ME
2026-09-15T08:12:19.606842+00:00,ME20A278,22,2,20260915170718,20260915133720,20260915140309,,ME
2026-09-15T08:12:19.606842+00:00,ME20A279,21,2,20260915170738,20260915102428,20260915105529,,ME
2026-09-15T08:12:19.606842+00:00,ME20A279,22,2,20260915170738,20260915123002,20260915131002,,ME
2026-09-15T08:12:19.606842+00:00,ME20A280,01,2,20260915170755,20260915141030,20260915145030,,ME
2026-09-15T08:12:19.606842+00:00,ME20A280,02,3,20260915170846,20260915153711,20260915161711,20260915165841,ME
2026-09-15T08:12:19.606842+00:00,ME20A301,01,2,20260915170716,20260913160647,20260913164034,,ME
2026-09-15T08:12:19.606842+00:00,ME20A301,21,2,20260915170714,20260913174543,20260913182543,,ME
2026-09-15T08:12:19.606842+00:00,ME20A301,22,2,20260915170715,20260913140333,20260913141638,,ME
2026-09-15T08:12:19.606842+00:00,ME20A409,21,2,20260915170628,20260915155852,20260915163852,,ME
